<OOV> 1.0	OOV
ڈیٹ 1.0	DD AY TT
ڈیٹا 1.0	DD AY TT AA
ڈیٹس 1.0	DD AE TT S
ڈیٹیل 1.0	D AY T AY L
ڈیٹیلز 1.0	D AY T AY L Z
ڈیجٹس 1.0	DD AE DZZ TT S
ڈیجیٹ 1.0	DD II DZZ II TT
ڈیر 1.0	DD AY R
ڈیڑھ 1.0	DD AE RRH
ڈیزرٹ 1.0	DD AY Z A R TT
ڈیزرٹس 1.0	DD AY Z A R TT S
ڈیزوں 1.0	DD AY Z OON
ڈیفالٹ 1.0	DD II F AA L TT
ڈیفینس 1.0	DD II F AE N S
ڈیفینیٹلی 1.0	DD II F AE N AE TT L II
ڈیل 1.0	DD II L
ڈیلز 1.0	DD II L Z
ڈیلکس 1.0	DD II L I K S
ڈیلنگ 1.0	DD AY L I NG
ڈیلے 1.0	DD II L AY
ڈیلی 1.0	DD II L II
ڈیلیٹ 1.0	DD II L AE TT
ڈیلیں 1.0	DD II L AEN
ڈیلیور 1.0	DD II L II V R
ڈیلیورڈ 1.0	DD II L II V A R DD
ڈیلیوری 1.0	DD II L II V R II
ڈین 1.0	DD II N
ڈینائے 1.0	DD AE N AA AY
ڈینگی 1.0	DD AE NG G II
ڈیو 1.0	DD II V
ڈیوائل 1.0	DD II V AA I L
ڈیورنگ 1.0	DD I J UU R I NG
ڈیولپمنٹل 1.0	DD I J UU L P M A N TT A L
ڈیئر 1.0	DD AY A R
ذرا 1.0	Z A R R AA
ذراسا 1.0	Z A R AA S AA
ذریعہ 1.0	Z A R II AA
ذریعے 1.0	Z A R II AE
ذکر 1.0	Z A K A R
ذیشان 1.0	Z II SH AA N
رابطہ 1.0	R AA B I TD AA
رابعہ 1.0	R AA B I AA
رات 1.0	R AA TD
راجہ 1.0	R AA DZZ AA
راحت 1.0	R AA H A TD
راحیل 1.0	R AA H II L
راحیمہ 1.0	R AA H II M AA
راستہ 1.0	R AA S TD AA
راستے 1.0	R AA S TD AE
راشد 1.0	R AA SH I DD
رانگ 1.0	R AA NG
راہمہ 1.0	R AA H A M AA
راہیمہ 1.0	R AA H II M AA
راہیں 1.0	R AA H AYN
راہیے 1.0	R AA H I J AE
راولپنڈی 1.0	R AA V A L P A N DD II
راؤ 1.0	R AA OO
راؤف 1.0	R AA UU F
رائٹ 1.0	R AA I TT
رائٹس 1.0	R AA I TT S
رائڈر 1.0	R AA A D R
رائس 1.0	R AA I S
رائل 1.0	R AA I L
رائمل 1.0	R AA I M A L
رائی 1.0	R AA II
رائیڈ 1.0	R AA II DD
رائیڈر 1.0	R AA II DD A R
رائیڈرز 1.0	R AA II DD A R Z
رائیڈروں 1.0	R AA II DD A R OON
رباب 1.0	R U B AA B
ربیکا 1.0	R A B II K AA
رپٹ 1.0	R I P TT
رپریزنٹ 1.0	R I P R AY Z A N TT
رپلائے 1.0	R I P A L AA AY
رپیز 1.0	R I P II Z
رجسٹر 1.0	R A DZZ I S TT A R
رجسٹرڈ 1.0	R A DZZ I S TT A R DD
رجسٹریشن 1.0	R A DZZ I S TT A R AE SH A N
رحما 1.0	R A H M AA
رحمان 1.0	R A H M AA N
رحمت 1.0	R A H M A TD
رحمہ 1.0	R A H M AA
رحیم 1.0	R A H II M
رحیمہ 1.0	R A H II M AA
ردا 1.0	R A DD DD AA
رزلٹ 1.0	R I Z A L TT
رسپونڈنگ 1.0	R A S P UU N DD I NG
رسپونس 1.0	R A S P OO N S
رستے 1.0	R A S TD AY
رسیونگ 1.0	R A S II V I NG
رش 1.0	R I SH
رضوان 1.0	R I Z V AA N
رضویہ 1.0	R I Z V I J AA
رفیق 1.0	R A F II Q
رقو 1.0	R A Q UU
رکھ 1.0	R A KH
رکھا 1.0	R A K KH AA
رکھتے 1.0	R A KH TD AE
رکھنا 1.0	R A KH N AA
رکھنے 1.0	R A KH N AE
رکھوائی 1.0	R A KH V AA II
رکھے 1.0	R A K KH AE
رکھی 1.0	R A K KH II
رکھیں 1.0	R A K KH IIN
رکھئیے 1.0	R A KH II AE
رکوائرڈ 1.0	R U K V AA AE R DD
رکوائرمنٹس 1.0	R U K V AA AE R M AE N TT S
رکوائیرڈ 1.0	R U K V AA I J A R DD
رکیے 1.0	R A K II AE
رمضان 1.0	R A M Z AA N
رنڈی 1.0	R A N DD II
رنگ 1.0	R A NG
رننگ 1.0	R I N I NG
رہ 1.0	R AA
رہا 1.0	R A H AA
رہاش 1.0	R A H AA SH
رہاں 1.0	R A H AAN
رہتا 1.0	R A H TD AA
رہتے 1.0	R A H TD AE
رہتی 1.0	R AEH H TD II
رہنمائی 1.0	R A H N U M AA II
رہنے 1.0	R AEH H N AY
رہوں 1.0	R A H UUN
رہے 1.0	R A H AY
رہی 1.0	R A H II
رہیگا 1.0	R A H II G AA
رہیں 1.0	R A H AEN
رہیے 1.0	R A H II AE
رہیئے 1.0	R H II AY
رہیۓ 1.0	R A H II
رہئیے 1.0	R A H II AE
روباب 1.0	R OO B AA B
روپے 1.0	R UU P AE
روپی 1.0	R UU P II
روپیز 1.0	R OO P II Z
روپیہ 1.0	R UU P I J AA
روٹیٹ 1.0	R OO TT AY TT
روڈ 1.0	R OO DD
روڈلی 1.0	R OO DD L II
روز 1.0	R OO Z
روزہ 1.0	R OO Z AA
روک 1.0	R OO K
روکنا 1.0	R OO K N AA
روکیں 1.0	R OO K AYN
روکئیے 1.0	R OO K A II AY
رولز 1.0	R OO L Z
روم 1.0	R UU M
رومان 1.0	R UU M AA N
رومی 1.0	R UU M II
رویال 1.0	R UU J AA L
روئل 1.0	R UU I L
روئیل 1.0	R UU II L
رؤف 1.0	R A UU F
رے 1.0	R AY
ری 1.0	R II
ریاض 1.0	R I J AA Z
ریب 1.0	R II B
ریپ 1.0	R AY P
ریپریزنٹ 1.0	R II P R AY Z A N TT
ریپریزنٹیٹو 1.0	R II P R AY Z A N TT AY TT OO
ریپلائے 1.0	R II P A L AA AY
ریپلیس 1.0	R II P A L AE S
ریپلیسمنٹ 1.0	R II P A L AE S M E N TT
ریپیتیں 1.0	R II P A II J A TD AYN
ریپیٹ 1.0	R II P II TT
ریپیٹیٹ 1.0	R II P II TT AY TT
ریپیٹیٹیٹ 1.0	R II P II TT AY TT AY TT
ریپیٹینگ 1.0	R II P II TT AE NG
ریپیزنٹیٹو 1.0	R II P II Z A N TT AY TT OO
ریٹ 1.0	R AE TT
ریٹرن 1.0	R AE TT R A N
ریٹس 1.0	R AE TT S
ریجسٹر 1.0	R II DZZ I S TT A R
ریجنل 1.0	R II DZZ N A L
ریچڈ 1.0	R AE TSH DD
ریحاد 1.0	R AY H AA DD
ریدا 1.0	R AY DD AA
ریڈی 1.0	R AE DD II
ریڈیم 1.0	R AY DD I J A M
ریزن 1.0	R AY Z A N
ریزولو 1.0	R AE Z OO L OO
ریزولوشن 1.0	R AY Z OO L UU SH A N
ریزیڈنسی 1.0	R AY Z II DD A N S II
ریسپیکٹ 1.0	R AY S P AE K TT
ریسٹورنٹ 1.0	R E S TT UU R E N TT
ریسنٹلی 1.0	R AY S A N TT L II
ریسیپٹ 1.0	R II S II P A TT
ریسیو 1.0	R II S II V
ریشو 1.0	R AY SH OO
ریفرینس 1.0	R AE F R AE N S
ریفنڈ 1.0	R II F A N DD
ریفوس 1.0	R II F OO S
ریکارڈ 1.0	R II K AA R DD
ریکارڈر 1.0	R II K AA R DD A R
ریکارڈنگ 1.0	R II K AA R DD I NG
ریکارڈنگز 1.0	R II K AA R DD I NG Z
ریکوائرڈ 1.0	R II K V AA AE R DD
ریکوائرمنٹ 1.0	R II K V AA AE R M AE N TT
ریکورڈ 1.0	R II K OO R DD
ریکورڈیڈ 1.0	R II K OO R DD II DD
ریکویسٹ 1.0	R II K OO E S TT
ریگ 1.0	R AY G
ریگولر 1.0	R AE G UU L A R
ریگولرلی 1.0	R AE G UU L R L II
ریلی 1.0	R AY L II
ریلیٹڈ 1.0	R II L II TT I DD
ریلیٹیڈ 1.0	R II L II TT II DD
ریلیشن 1.0	R AE L AY SH A N
ریمارک 1.0	R II M AA R K
ریموو 1.0	R II M UU V
ریمیننگ 1.0	R II M AY N I NG
رینا 1.0	R AE N AA
رینڈملی 1.0	R AE N DD A M L II
ریوینیو 1.0	R II V AE N II OO
رئیلی 1.0	R A II L II
زادہ 1.0	Z AA DD AA
زار 1.0	Z AA R
زارہ 1.0	Z AA R AA
زاہد 1.0	Z AA H I DD
زبردستی 1.0	Z A B A R DD A S TD II
زبیر 1.0	Z A B II R
زد 1.0	Z A DD
زدہ 1.0	Z A DD AA
زلمی 1.0	Z I L M II
زمانی 1.0	Z A M AA N II
زمزمہ 1.0	Z A M Z I M AA
زندگی 1.0	Z I N DD A G II
زنگرز 1.0	Z A NG G A R Z
زہرا 1.0	Z AEH H R AA
زونل 1.0	Z OO N A L
زوہیب 1.0	Z OO H II B
زی 1.0	Z II
زیادہ 1.0	Z I J AA DD AA
زیان 1.0	Z I J AA N
زیڈ 1.0	Z AY DD
زیرو 1.0	Z II R OO
زیشان 1.0	Z AY SH AA N
زین 1.0	Z II N
زینب 1.0	Z AE N B
سا 1.0	S AA
ساِس 1.0	S AA I S
ساِسس 1.0	S AA I S I S
ساِسیجز 1.0	S AA I S II DZZ I Z
سابیشری 1.0	S AA B II SH R II
سات 1.0	S AA TD
ساتھ 1.0	S AA TDH
سادھی 1.0	S AA DDH II
سارا 1.0	S AA R AA
سارہ 1.0	S AA R AA
ساروں 1.0	S AA R OON
سارے 1.0	S AA R AY
ساری 1.0	S AA R II
ساڑھے 1.0	S AA RRH AE
ساسج 1.0	S AA S I DZZ
ساسس 1.0	S AA S I S
ساسیج 1.0	S AA S II DZZ
سال 1.0	S AA L
سالٹ 1.0	S AA L T
سالہ 1.0	S AA L AA
سامنا 1.0	S AA M N AA
سامنے 1.0	S AA M N AE
سانپ 1.0	S AA M P
ساندہ 1.0	S AA N DD AA
ساہی 1.0	S AA H II
ساور 1.0	S AA V A R
سائبر 1.0	S AA I B A R
سائٹ 1.0	S AA I TT
سائرہ 1.0	S AA I R AA
سائز 1.0	S AA I Z
سائمہ 1.0	S AA I M AA
سائنس 1.0	S AA I N S
سائیڈ 1.0	S AA II DD
سب 1.0	S A B
سبزیاں 1.0	S A B Z I J AAN
سپ 1.0	S A P
سپر 1.0	S U P A R
سپرائٹ 1.0	S U P A R AA I TT
سپرمین 1.0	S A P A R M II N
سپروائزر 1.0	S U P A R V AA I Z A R
سپریٹ 1.0	S I P R II TT
سپریٹلی 1.0	S I P R AE TT L II
سپلائی 1.0	S A P L AA II
سپیسیفکلی 1.0	S A P AY S II F I K L II
سپیکنگ 1.0	S A P AY K I NG
ستارہ 1.0	S A TD AA R AA
ستائیس 1.0	S A TD TD AA II S
ستر 1.0	S A TD TD A R
سترہ 1.0	S A TD R AA
سٹارٹ 1.0	S A TT AA R TT
سٹرکٹلی 1.0	S A TT R A K TT L II
سٹریٹ 1.0	S A TT R AE TT
سٹریٹجی 1.0	S A TT R AE TT I DZZ II
سٹی 1.0	S A TT II
سٹیپ 1.0	S A TT II P
سٹیٹس 1.0	S A TT AY TT S
سٹیزن 1.0	S A TT II Z A N
سجاد 1.0	S A DZZ DZZ AA DD
سجیسٹ 1.0	S A DZZ E S TT
سچ 1.0	S A TSH
سچل 1.0	S A TSH TSH A L
سحر 1.0	S I H R
سخت 1.0	S A X TD
سدرہ 1.0	S A DD DD R AA
سدہ 1.0	S A DD AA
سر 1.0	S A R
سرای 1.0	S A R AA II
سرپرائز 1.0	S A R P A R AA I Z
سرٹو 1.0	S A R TT OO
سرچ 1.0	S A R TSH
سردار 1.0	S A R DD AA R
سرف 1.0	S A R F
سرفراز 1.0	S A R F A R AA Z
سرکولر 1.0	S A R K OO L A R
سرگودھا 1.0	S A R G OO DDH AA
سرمد 1.0	S A R M A DD
سرمست 1.0	S A R M A S TD
سرمیں 1.0	S A R M AYN
سرور 1.0	S A R V A R
سروس 1.0	S A R V I S
سرونگ 1.0	S A R UU NG
سروو 1.0	S A R V OO
سرے 1.0	S A R R AY
سری 1.0	S A R II
سڑا 1.0	S A RR AA
سستی 1.0	S A S TD II
سسٹر 1.0	S I S TT A R
سسٹم 1.0	S I S TT A M
سسر 1.0	S I S A R
سع 1.0	S A
سعادت 1.0	S A AA DD A TD
سعد 1.0	S A DD
سعدی 1.0	S A DD II
سعدیہ 1.0	S A DD AY J AA
سعود 1.0	S A UU DD
سعید 1.0	S A II DD
سکتا 1.0	S A K TD AA
سکتے 1.0	S A K TD AY
سکتی 1.0	S A K TD II
سکتیں 1.0	S A K TD IIN
سکٹر 1.0	S I K TT A R
سکرین 1.0	S I K R II N
سکس 1.0	S I K S
سکسٹی 1.0	S I K S I TT II
سکسٹین 1.0	S I K S TT II N
سکنڈز 1.0	S A K A N DD Z
سکھائی 1.0	S I KH AA II
سکوں 1.0	S A K OON
سکونگا 1.0	S A K UU NG G AA
سکے 1.0	S A K AE
سکی 1.0	S A K II
سکیں 1.0	S A K AEN
سگنل 1.0	S I G N A L
سگنلز 1.0	S I G N A L Z
سلاد 1.0	S A L AA DD
سلام 1.0	S A L AA M
سلامت 1.0	S A L AA M A TD
سلائس 1.0	S A L AA I S
سلپ 1.0	S A L P
سلسلے 1.0	S I L S I L AE
سلطان 1.0	S U L TD AA N
سلو 1.0	S U L UU
سلوک 1.0	S U L UU K
سلیش 1.0	S A L II SH
سلیم 1.0	S A L II M
سلیمان 1.0	S A L II M AA N
سم 1.0	S A M
سمبارا 1.0	S A M B AA R AA
سمبل 1.0	S A M B A L
سمپل 1.0	S A M P A L
سمتھنگ 1.0	S A M TDH A NG
سمجھ 1.0	S A M A DZZH
سمجھا 1.0	S A M DZZH AA
سمجھانے 1.0	S A M DZZH AA N AE
سمجھایا 1.0	S A M DZZH AA J AA
سمجھے 1.0	S A M DZZH AE
سمجھی 1.0	S A M DZZH II
سمجھیں 1.0	S A M DZZH AEN
سممی 1.0	S A M A M II
سمنہ 1.0	S A M N AA
سمول 1.0	S A M OO L
سموئیر 1.0	S A M OO I J A R
سمی 1.0	S A M II
سمیر 1.0	S A M II R
سمینہ 1.0	S A M II N AA
سمیہ 1.0	S A M I J AA
سمیئہ 1.0	S A M AY A AA
سن 1.0	S A N
سنا 1.0	S U N AA
سنائیں 1.0	S U N AA AYN
سنتا 1.0	S U N TD AA
سنتے 1.0	S U N TD AY
سنٹر 1.0	S E N TT A R
سندھ 1.0	S U N DDH
سنڈے 1.0	S U N DD AY
سنڈیز 1.0	S U N DD II Z
سنکڈز 1.0	S U N K DD Z
سنگاپور 1.0	S A NG G AA P UU R
سنگل 1.0	S I NG G A L
سننا 1.0	S U N N AA
سننے 1.0	S U N N AY
سنی 1.0	S U N II
سنیں 1.0	S U N AEN
سہ 1.0	S AA
سہی 1.0	S A H II
سو 1.0	S OO
سوا 1.0	S A V AA
سوچ 1.0	S OO TSH
سوچا 1.0	S OO TSH AA
سور 1.0	S UU R
سوری 1.0	S UU R II
سوس 1.0	S UU S
سوسایٹی 1.0	S OO S II TT II
سوسائٹی 1.0	S OO S AA I TT II
سوسائیٹی 1.0	S OO S AA II TT II
سوسج 1.0	S OO S DZZ
سوسجز 1.0	S OO S DZZ I Z
سوسز 1.0	S A V I S I Z
سوسس 1.0	S OO S A S
سوسیج 1.0	S OO S AY DZZ
سوفٹ 1.0	S OO F TT
سوگرہ 1.0	S OO G A R AA
سول 1.0	S UU L
سولا 1.0	S OO L AA
سولٹڈ 1.0	S OO L TT I DD
سولیمان 1.0	S OO L II M AA N
سومی 1.0	S OO M II
سون 1.0	S UU N
سونتی 1.0	S UU N A TD II
سونک 1.0	S OO N I K
سونگ 1.0	S OO NG
سونے 1.0	S UU N AE
سونیا 1.0	S OO N I J AA
سوہا 1.0	S OO H AA
سویٹ 1.0	S A V AY TT
سوئے 1.0	S OO AE
سوئیٹ 1.0	S UU II TT
سے 1.0	S AY
سی 1.0	S II
سیاپا 1.0	S I J AA P AA
سیالکوٹ 1.0	S I J AA L K OO TT
سیپ 1.0	S II P
سیپرپٹ 1.0	S AE P R I P TT
سیپرپٹلی 1.0	S AE P R I P TT L II
سیپریٹ 1.0	S II P R AY TT
سیپریٹلی 1.0	S II P R AE TT L II
سیٹ 1.0	S II TT
سیٹسفائڈ 1.0	S AE TT S F AA I DD
سیٹلائٹ 1.0	S AE TT L AA I TT
سید 1.0	S II DD
سیدا 1.0	S AY DD AA
سیدھی 1.0	S II DDH II
سیڈ 1.0	S II DD
سیر 1.0	S II R
سیرپ 1.0	S AE R P
سیڑھیوں 1.0	S II RRH II OON
سیس 1.0	S II S
سیف 1.0	S AE F
سیکٹر 1.0	S AE K TT A R
سیکنڈ 1.0	S AE K I N DD
سیکنڈز 1.0	S AE K I N DD Z
سیکنڈلی 1.0	S AE K I N DD L II
سیکینڈ 1.0	S II K J A N DD
سیل 1.0	S II L
سیلکٹ 1.0	S AE L I K TT
سیلون 1.0	S AE L UU N
سیم 1.0	S II M
سیمپل 1.0	S AE M P A L
سیمہ 1.0	S II M AA
سین 1.0	S II N
سیناریو 1.0	S II N AA R II V
سینٹر 1.0	S AE N TT A R
سینٹرل 1.0	S AE N TT A R A L
سینٹرلائزڈ 1.0	S AE N TT A R A L AA I Z DD
سینڈ 1.0	S AE N DD
سینڈوچ 1.0	S AY N DD V I TSH
سینیار 1.0	S AE N J AA R
سینیریو 1.0	S AE N AY R II OO
سینئیر 1.0	S II N I J A R
سیو 1.0	S II OO
سیواے 1.0	S II V AA AY
سیون 1.0	S AE V A N
سیونٹی 1.0	S AE V A N TT II
سیونٹین 1.0	S AE V A N TT II N
سیوے 1.0	S II V AY
سیئنگ 1.0	S II I NG
شاپ 1.0	SH AA P
شاٹ 1.0	SH AA TT
شادمان 1.0	SH AA DD M AA N
شارٹ 1.0	SH AA R TT
شارون 1.0	SH AA R UU N
شازیب 1.0	SH AA Z II B
شازیہ 1.0	SH AA Z I J AA
شام 1.0	SH AA M
شامیر 1.0	SH AA M II R
شاہ 1.0	SH AA
شاہد 1.0	SH AA H I DD
شاہریار 1.0	SH AA H R J AA R
شاہزیب 1.0	SH AA H Z II B
شاہمیر 1.0	SH AA H M II R
شاید 1.0	SH AA J A DD
شائستہ 1.0	SH AA I S TD AA
شبنم 1.0	SH A B N A M
شپ 1.0	SH I P
شجاعت 1.0	SH U DZZ AA A TD
شرابہ 1.0	SH A R AA B AA
شرافت 1.0	SH A R AA F A TD
شرجیل 1.0	SH A R DZZ II L
شرم 1.0	SH A R M
شرو 1.0	SH A R UU
شروع 1.0	SH U R UU
شزا 1.0	SH I Z AA
شعیب 1.0	SH A II B
شفٹ 1.0	SH A F TT
شفٹس 1.0	SH I F TT S
شفٹوں 1.0	SH I F TT OON
شک 1.0	SH I K
شکایت 1.0	SH I K AA J A TD
شکر 1.0	SH U K A R
شکریہ 1.0	SH U K R I J AA
شکیل 1.0	SH A K II L
شگر 1.0	SH A G A R
شمس 1.0	SH A M S
شمسی 1.0	SH A M S II
شمیم 1.0	SH A M II M
شہباز 1.0	SH A H B AA Z
شہر 1.0	SH E H R
شہروز 1.0	SH AEH H R UU Z
شہریار 1.0	SH AEH H R J AA R
شہزاد 1.0	SH A H Z AA DD
شہناز 1.0	SH A H N AA Z
شہید 1.0	SH A H II DD
شو 1.0	SH OO
شوپر 1.0	SH UU P A R
شوٹ 1.0	SH UU TT
شوٹس 1.0	SH UU TT S
شورٹ 1.0	SH OO R TT
شوکت 1.0	SH O K A TD
شوگر 1.0	SH UU G A R
شی 1.0	SH II
شیخ 1.0	SH AE X
شیراز 1.0	SH AY R AA Z
شیریار 1.0	SH AE R J AA R
شیزاد 1.0	SH AE Z AA DD
شیزہ 1.0	SH II Z AA
شیک 1.0	SH AY K
شیکس 1.0	SH AE K S
شیل 1.0	SH AY L
شیم 1.0	SH AE M
شیو 1.0	SH AE V
شیور 1.0	SH AY V A R
شئیر 1.0	SH A J A R
صاحب 1.0	S AA H I B
صارم 1.0	S AA R M
صالح 1.0	S AA L AY
صبا 1.0	S A B AA
صبح 1.0	S A B AY
صبر 1.0	S A B R
صحاب 1.0	S A H AA B
صحیح 1.0	S A H II
صدر 1.0	S A DD R
صدف 1.0	S A DD A F
صدیق 1.0	S I DD DD II Q
صدیقی 1.0	S I DD DD II Q II
صرف 1.0	S A R F
صفی 1.0	S A F II
صفیہ 1.0	S A F I J AA
صمد 1.0	S S A M A DD
صوبہ 1.0	S UU B AA
صوبیہ 1.0	S UU B I J AA
صوتی 1.0	S UU TD II
صور 1.0	S UU R
صورت 1.0	S UU R A TD
صورتیں 1.0	S UU R A TD AYN
ضایع 1.0	Z AA II
ضرور 1.0	Z A R UU R
ضرورت 1.0	Z A R UU R A TD
ضمیر 1.0	Z A M II R
طارق 1.0	TD AA R I Q
طب 1.0	TD A B
طبعیت 1.0	TD A B A J J A TD
طحہ 1.0	TD H AA
طرح 1.0	TD A R H
طرف 1.0	TD A R F
طریقہ 1.0	TD A R II Q AA
طریقے 1.0	TD A R II Q AY
طلال 1.0	TD A L AA L
طلحہ 1.0	TD A L H AA
طور 1.0	TD UU R
طیب 1.0	TD AY J A B
طیبہ 1.0	TD A J J I B AA
ظاہری 1.0	Z AA H A R II
ظاھر 1.0	Z AA DDH A R
ظفر 1.0	Z A F A R
ظفیر 1.0	Z A F II R
ظنیرہ 1.0	Z A N II R AA
ظہیر 1.0	Z A H II R
عاتیقہ 1.0	AA TD II Q AA
عارف 1.0	AA R I F
عاطف 1.0	AA TD I F
عام 1.0	AA M
عائشہ 1.0	AA I SH AA
عبّاس 1.0	A B AA S
عباد 1.0	I B AA DD
عباس 1.0	A B B AA S
عبدالباِسط 1.0	A B DD U L A B AA I S TD
عبدالرحمان 1.0	A B DD U L R A H M AA N
عبدالمتین 1.0	A B DD U L M TD II N
عبدل 1.0	A B DD I L
عبدلرحمان 1.0	A B DD L R A H M AA N
عبدللہ 1.0	A B DD L L AA
عبدلوا 1.0	A B DD A L V AA
عبدلواِسع 1.0	A B DD L A I S AY
عبدلواحد 1.0	A B DD I L V AA H I DD
عبدلواسع 1.0	A B DD I L V AA S AY
عبدلوحید 1.0	A B DD I L O H II DD
عتیق 1.0	A TD II Q
عثمان 1.0	U S M AA N
عجیب 1.0	A DZZ II B
عدنان 1.0	A DD N AA N
عدیل 1.0	A DD II L
عرض 1.0	A R Z
عرفان 1.0	I R F AA N
عریب 1.0	A R AE B
عریبیہ 1.0	A R AE B I J AA
عریشا 1.0	A R AY SH AA
عریشمہ 1.0	A R AE SH M AA
عزت 1.0	I Z Z A TD
عزیز 1.0	A Z II Z
عزیزہ 1.0	A Z II Z AA
عسکری 1.0	A S K A R II
عطیب 1.0	A TD II B
عظیم 1.0	A Z II M
عکاشہ 1.0	A K K AA SH AA
علاقہ 1.0	A L L AA Q AA
علامہ 1.0	A L L AA M AA
علاوہ 1.0	I L AA V AA
علم 1.0	A L A M
علمدار 1.0	A L A M DD AA R
علی 1.0	A L II
علیحدہ 1.0	A L AY H I DD AA
علیم 1.0	A L II M
علینہ 1.0	A L II N AA
عمار 1.0	I M AA R
عمارہ 1.0	I M AA R AA
عمان 1.0	A M AA N
عمر 1.0	U M R
عمران 1.0	U M R AA N
عمیر 1.0	A M II R
عورت 1.0	O R A TD
عیان 1.0	I J AA N
عید 1.0	A II DD
عیشل 1.0	AE SH A L
غائب 1.0	7 AA I B
غرض 1.0	7 A R A Z
غرق 1.0	7 R A Q
غریب 1.0	7 A R II B
غصہ 1.0	7 U S S AA
غضنفر 1.0	7 A Z N A F A R
غلط 1.0	7 A L A TD
غلطی 1.0	7 A L TD II
غیرت 1.0	7 AE R A TD
فِکر 1.0	F I K A R
فاِسٹ 1.0	F AA I S TT
فاِنٹا 1.0	F AA I N TT AA
فاتھر 1.0	F AA TDH A R
فاخر 1.0	F AA X I R
فار 1.0	F AA R
فاروا 1.0	F AA R V AA
فارورڈ 1.0	F AA R V A R DD
فاروق 1.0	F AA R UU Q
فاریہ 1.0	F AA R I J AA
فاسٹ 1.0	F AA S TT
فاطمہ 1.0	F AA TD M AA
فالو 1.0	F AA L UU
فانٹا 1.0	F AA N T AA
فائدہ 1.0	F AA I DD AA
فائزہ 1.0	F AA I Z AA
فائف 1.0	F AA I F
فائل 1.0	F AA I L
فائن 1.0	F AA I N
فائیو 1.0	F AA II V
فر 1.0	F A R
فراز 1.0	F A R AA Z
فرافت 1.0	F A R AA F A TD
فرام 1.0	F A R AA M
فرائز 1.0	F A R AA I Z
فرائیڈ 1.0	F A R AA II DD
فرحان 1.0	F A R H AA N
فرحین 1.0	F A R H AE N
فردر 1.0	F A R DD A R
فردوس 1.0	F I R DD O S
فرسٹ 1.0	F A R S A TT
فرق 1.0	F A R Q
فرقان 1.0	F U R Q AA N
فرما 1.0	F A R M AA
فرمایا 1.0	F A R M AA J AA
فرمائیگا 1.0	F A R M AA II G AA
فرمائیے 1.0	F A R M AA II AY
فرنچائز 1.0	F A R A N TSH AA I Z
فری 1.0	F A R II
فریال 1.0	F A R J AA L
فریج 1.0	F A R II DZZ
فریحہ 1.0	F A R II H AA
فریش 1.0	F A R AE SH
فریکوینسی 1.0	F A R II K UU J A N S II
فزا 1.0	F I Z AA
فس 1.0	F A S
فش 1.0	F I SH
فصیح 1.0	F A S II H
فضا 1.0	F I Z AA
فضل 1.0	F A Z L
ففتھ 1.0	F I F TDH
ففٹی 1.0	F I F TT II
ففٹین 1.0	F F T II N
فقط 1.0	F U Q A TD
فکر 1.0	F I K R
فکس 1.0	F I K S
فل 1.0	F A L
فلانا 1.0	F I L AA N AA
فلانے 1.0	F I L AA N AY
فلت 1.0	F L A TD
فلحال 1.0	F A L H AA L
فلریس 1.0	F A L A R AE S
فلنگ 1.0	F L I NG
فلو 1.0	F A L OO
فلور 1.0	F A L OO R
فلوری 1.0	F A L OO R II
فلوقت 1.0	F A L OO Q A TD
فلی 1.0	F A L II
فلیٹ 1.0	F A L AE TT
فلیور 1.0	F A L AE V A R
فلیورز 1.0	F A L AE V A R Z
فمیلی 1.0	F M II L II
فن 1.0	F A N
فنکشنل 1.0	F A N K SH A N A L
فہیم 1.0	F A H II M
فواد 1.0	F A V AA DD
فودپندہ 1.0	F O DD P A N DD AA
فوڈ 1.0	F UU DD
فور 1.0	F OO R
فورا 1.0	F OO R AA
فورتھ 1.0	F OO R TDH
فورٹی 1.0	F OO R TT II
فورٹیفائیو 1.0	F OO R TT II F AA II V
فورٹین 1.0	F OO R TT AE N
فورس 1.0	F OO R S
فورن 1.0	F OO R A N
فوری 1.0	F OO R II
فوزیہ 1.0	F OO Z I J AA
فول 1.0	F OO L
فولو 1.0	F OO L OO
فون 1.0	F OO N
فی 1.0	F II
فیڈ 1.0	F II DD
فیز 1.0	F AE Z
فیزایڈ 1.0	F AE Z AA AY DD
فیزبک 1.0	F AE Z B A K
فیزفائیو 1.0	F AE Z F AA II V
فیزہوتا 1.0	F AE Z H OO TD AA
فیسٹیول 1.0	F AE S TT II V A L
فیسڈ 1.0	F AE S DD
فیصل 1.0	F AE S A L
فیصلہ 1.0	F AY S L AA
فیضان 1.0	F AY Z AA N
فیکٹ 1.0	F AE K TT
فیل 1.0	F II L
فیلنگز 1.0	F II L I NG Z
فیلو 1.0	F II L OO
فیلیٹ 1.0	F II L AE TT
فیمس 1.0	F AE M S
فیملی 1.0	F AY M L II
فینٹا 1.0	F AE N TT AA
فیو 1.0	F I J UU
فیور 1.0	F I J UU R
قادر 1.0	Q AA DD I R
قادریہ 1.0	Q AA DD A R J AA
قارٹر 1.0	Q AA R TT A R
قاسم 1.0	Q AA S I M
قاعدہ 1.0	Q AA I DD AA
قبل 1.0	Q A B L
قراةالعین 1.0	Q A R AA L A II N
قربان 1.0	Q U R B AA N
قریب 1.0	Q A R II B
